"DATA","APERTURA","MASSIMO","MINIMO","CHIUSURA","VAR % CLOSE","VOLUME"
"06/10/17","22.542,37","22.556,18","22.346,83","22.392,31","-0,77","349953671"
"09/10/17","22.410,20","22.524,38","22.365,56","22.476,75","0,38","324092277"
"10/10/17","22.426,42","22.435,70","22.261,17","22.335,91","-0,63","403037397"
"11/10/17","22.407,03","22.555,39","22.314,49","22.552,21","0,97","539972711"
"12/10/17","22.536,78","22.570,66","22.377,54","22.398,51","-0,68","371848354"
"13/10/17","22.421,11","22.517,40","22.334,82","22.413,54","0,07","418654859"
"16/10/17","22.381,56","22.497,58","22.352,06","22.428,31","0,07","370484530"
"17/10/17","22.460,40","22.477,14","22.304,64","22.337,78","-0,40","335895511"
"18/10/17","22.340,81","22.391,77","22.263,87","22.354,69","0,08","280149643"
"19/10/17","22.343,64","22.394,76","22.021,02","22.133,21","-0,99","398422835"
"20/10/17","22.190,97","22.362,23","22.165,70","22.346,85","0,97","353400661"
"23/10/17","22.377,89","22.441,39","22.275,02","22.379,16","0,14","261702451"
"24/10/17","22.389,52","22.650,63","22.376,55","22.629,57","1,12","445946197"
"25/10/17","22.620,08","22.671,56","22.434,06","22.446,39","-0,81","343917746"
"26/10/17","22.473,64","22.838,50","22.434,71","22.807,42","1,61","452632196"
"27/10/17","22.861,25","22.899,36","22.597,05","22.665,03","-0,62","493513551"
"30/10/17","22.684,64","22.790,09","22.639,15","22.752,89","0,39","334836231"
"31/10/17","22.774,53","22.826,28","22.709,44","22.793,69","0,18","332706615"
"01/11/17","22.909,89","23.061,12","22.891,04","22.991,99","0,87","325132166"
"02/11/17","23.006,45","23.127,77","22.935,09","23.046,05","0,24","421865165"
"03/11/17","23.099,20","23.099,20","22.947,66","23.014,13","-0,14","319644093"
"06/11/17","23.006,94","23.038,18","22.884,67","23.002,85","-0,05","290468829"
"07/11/17","23.064,26","23.133,42","22.962,59","22.962,59","-0,18","381812179"
"08/11/17","22.991,55","22.997,81","22.699,11","22.831,30","-0,57","469205500"
"09/11/17","22.885,25","22.960,58","22.593,29","22.641,31","-0,83","508019433"
"10/11/17","22.694,90","22.736,18","22.534,59","22.560,79","-0,36","590135138"
"13/11/17","22.578,92","22.586,80","22.269,49","22.437,64","-0,55","468746506"
"14/11/17","22.490,89","22.571,74","22.242,78","22.297,08","-0,63","560447313"
"15/11/17","22.174,58","22.213,95","21.932,57","22.158,88","-0,62","540108178"
"16/11/17","22.257,83","22.281,15","22.083,29","22.206,60","0,22","428438328"
"17/11/17","22.202,29","22.278,54","22.011,31","22.092,95","-0,51","427565418"
"20/11/17","21.974,40","22.209,57","21.946,90","22.189,25","0,44","324614450"
"21/11/17","22.192,04","22.433,08","22.126,63","22.326,44","0,62","361475817"
"22/11/17","22.358,44","22.495,29","22.312,26","22.315,24","-0,05","352646677"
"23/11/17","22.238,83","22.405,70","22.191,72","22.397,78","0,37","415586987"
"24/11/17","22.395,70","22.591,75","22.357,30","22.416,31","0,08","404323296"
"27/11/17","22.389,04","22.493,12","22.176,70","22.176,70","-1,07","329356346"
"28/11/17","22.223,27","22.301,32","22.194,88","22.291,77","0,52","295918291"
"29/11/17","22.403,46","22.508,61","22.274,88","22.325,94","0,15","400342925"
"30/11/17","22.361,40","22.558,48","22.320,96","22.368,29","0,19","591976932"
"01/12/17","22.396,59","22.409,20","22.060,48","22.106,10","-1,17","419434338"
"04/12/17","22.351,85","22.421,51","22.270,94","22.362,11","1,16","334947048"
"05/12/17","22.374,32","22.482,07","22.261,00","22.416,31","0,24","337450791"
"06/12/17","22.235,93","22.371,19","22.204,99","22.307,28","-0,49","440998598"
"07/12/17","22.355,73","22.459,51","22.317,50","22.459,51","0,68","383437360"
"08/12/17","22.571,33","22.797,83","22.570,73","22.773,80","1,40","431126719"
"11/12/17","22.798,06","22.838,32","22.684,39","22.690,98","-0,36","366164318"
"12/12/17","22.725,33","22.767,19","22.610,74","22.727,32","0,16","419418783"
"13/12/17","22.695,21","22.752,13","22.400,19","22.400,19","-1,44","528817954"
"14/12/17","22.361,20","22.487,01","22.191,74","22.191,74","-0,93","473129440"
"15/12/17","22.080,02","22.210,52","21.993,88","22.094,04","-0,44","607074483"
"18/12/17","22.224,73","22.403,11","22.206,66","22.390,53","1,34","368404472"
"19/12/17","22.382,07","22.454,63","22.253,84","22.274,97","-0,52","352749224"
"20/12/17","22.334,86","22.354,10","22.088,86","22.109,65","-0,74","319537284"
"21/12/17","22.112,46","22.251,07","21.999,89","22.240,25","0,59","336192978"
"22/12/17","22.166,42","22.248,74","22.115,62","22.209,05","-0,14","235383060"
"27/12/17","22.257,06","22.295,18","22.121,33","22.201,27","-0,04","227928571"
"28/12/17","22.187,70","22.229,61","22.099,54","22.120,95","-0,36","240281342"
"29/12/17","22.144,09","22.154,40","21.833,80","21.853,34","-1,21","255000540"
"02/01/18","21.898,69","21.942,17","21.613,89","21.845,16","-0,04","327253994"
"03/01/18","21.890,45","21.941,65","21.719,07","21.904,56","0,27","314799739"
"04/01/18","22.012,10","22.572,52","22.011,59","22.512,13","2,77","427245003"
"05/01/18","22.547,94","22.762,29","22.534,22","22.762,29","1,11","329613492"
"08/01/18","22.867,80","22.898,76","22.704,78","22.845,69","0,37","350554504"
"09/01/18","22.850,49","23.055,53","22.840,12","23.004,98","0,70","329086124"
"10/01/18","22.979,12","23.172,81","22.955,64","23.157,42","0,66","538237786"
"11/01/18","23.155,98","23.323,21","23.130,13","23.305,26","0,64","452325285"
"12/01/18","23.427,89","23.474,51","23.343,76","23.429,83","0,53","375753531"
"15/01/18","23.458,65","23.604,24","23.331,58","23.543,55","0,49","295071205"
"16/01/18","23.537,57","23.697,72","23.443,46","23.495,28","-0,21","379726425"
"17/01/18","23.369,56","23.555,47","23.355,85","23.514,67","0,08","375460372"
"18/01/18","23.579,52","23.630,81","23.438,84","23.630,81","0,49","385681308"
"19/01/18","23.627,80","23.866,60","23.602,68","23.749,22","0,50","413342481"
"22/01/18","23.671,55","23.896,47","23.629,83","23.890,18","0,59","391839613"
"23/01/18","23.985,42","24.050,15","23.787,32","23.836,60","-0,22","374393881"
"24/01/18","23.815,53","23.882,88","23.622,62","23.622,62","-0,90","360229661"
"25/01/18","23.616,13","23.818,28","23.600,06","23.719,81","0,41","432017794"
"26/01/18","23.725,25","23.874,85","23.697,62","23.856,99","0,58","321217129"
"29/01/18","23.897,87","23.960,29","23.774,49","23.801,55","-0,23","366309909"
"30/01/18","23.682,47","23.799,44","23.411,54","23.480,92","-1,35","528287826"
"31/01/18","23.504,60","23.602,10","23.419,87","23.507,06","0,11","388831929"
"01/02/18","23.639,28","23.809,51","23.436,36","23.541,46","0,15","440501091"
"02/02/18","23.545,12","23.561,90","23.184,33","23.202,66","-1,44","449305094"
"05/02/18","22.915,74","23.104,41","22.817,51","22.821,63","-1,64","478454050"
"06/02/18","22.002,92","22.649,40","21.982,17","22.347,01","-2,08","876783258"
"07/02/18","22.606,41","23.009,32","22.400,19","22.986,18","2,86","707065865"
"08/02/18","22.875,13","22.998,11","22.393,31","22.466,60","-2,26","637328675"
"09/02/18","22.339,40","22.569,62","22.041,82","22.166,75","-1,33","629245939"
"12/02/18","22.389,16","22.512,94","22.230,95","22.336,78","0,77","386201409"
"13/02/18","22.335,33","22.370,42","22.034,42","22.034,42","-1,35","387024006"
"14/02/18","22.191,75","22.481,18","21.907,71","22.433,75","1,81","562253575"
"15/02/18","22.536,68","22.736,26","22.393,48","22.495,64","0,28","445939106"
"16/02/18","22.716,93","22.806,90","22.618,08","22.797,88","1,34","348575597"
"19/02/18","22.852,70","22.860,51","22.568,92","22.568,92","-1,00","231556182"
"20/02/18","22.579,79","22.702,63","22.477,00","22.673,56","0,46","375668290"
"21/02/18","22.615,00","22.691,70","22.449,26","22.653,01","-0,09","353054668"
"22/02/18","22.516,59","22.601,66","22.269,72","22.463,51","-0,84","387318544"
"23/02/18","22.469,11","22.698,74","22.394,59","22.672,15","0,93","423433652"
"26/02/18","22.776,43","22.859,00","22.618,79","22.706,21","0,15","314694294"
"27/02/18","22.755,62","22.853,28","22.639,14","22.724,46","0,08","398659374"
"28/02/18","22.602,93","22.792,29","22.602,39","22.607,61","-0,51","401975031"
"01/03/18","22.527,12","22.592,69","22.344,20","22.448,38","-0,70","404057507"
