DATA,APERTURA,MASSIMO,MINIMO,CHIUSURA,VAR % CLOSE,VOLUME
09/09/19,"12.210,85","12.245,10","12.189,60","12.226,10","0,28",74246061
10/09/19,"12.210,90","12.292,15","12.179,90","12.268,70","0,35",107899847
11/09/19,"12.341,85","12.394,30","12.317,60","12.359,05","0,74",90579244
12/09/19,"12.399,40","12.471,85","12.311,80","12.410,25","0,41",111214284
13/09/19,"12.412,70","12.494,25","12.408,95","12.468,55","0,47",90990540
16/09/19,"12.387,70","12.421,25","12.363,00","12.380,30","-0,71",80505160
17/09/19,"12.370,95","12.392,95","12.303,50","12.372,60","-0,06",77784622
18/09/19,"12.361,25","12.416,05","12.354,50","12.389,60","0,14",70537611
19/09/19,"12.355,90","12.466,80","12.354,85","12.457,70","0,55",81542008
20/09/19,"12.462,55","12.490,85","12.418,50","12.468,00","0,08",192994042
23/09/19,"12.432,30","12.441,00","12.264,15","12.342,35","-1,01",80383570
24/09/19,"12.368,95","12.375,30","12.307,15","12.307,15","-0,29",60350762
25/09/19,"12.250,10","12.261,05","12.141,80","12.234,20","-0,59",72631598
26/09/19,"12.227,75","12.313,15","12.223,30","12.288,55","0,44",78923283
27/09/19,"12.327,80","12.404,45","12.324,70","12.380,95","0,75",66140893
30/09/19,"12.367,80","12.441,05","12.346,95","12.428,10","0,38",70129938
01/10/19,"12.469,65","12.497,30","12.263,85","12.263,85","-1,32",78839215
02/10/19,"12.221,75","12.226,85","11.925,25","11.925,25","-2,76",95635990
04/10/19,"11.958,30","12.012,90","11.879,00","12.012,80","0,73",88134349
07/10/19,"12.008,75","12.105,10","11.969,30","12.097,45","0,70",65613963
08/10/19,"12.097,90","12.097,95","11.933,00","11.970,20","-1,05",80877571
09/10/19,"11.973,80","12.165,55","11.953,10","12.094,25","1,04",68812728
10/10/19,"12.082,90","12.202,70","12.029,45","12.164,20","0,58",88437866
11/10/19,"12.248,90","12.511,65","12.240,95","12.511,65","2,86",100870018
14/10/19,"12.468,80","12.495,25","12.387,95","12.486,55","-0,20",59086872
15/10/19,"12.565,70","12.682,40","12.511,90","12.629,80","1,15",94185493
16/10/19,"12.644,20","12.698,35","12.603,85","12.670,10","0,32",99475889
17/10/19,"12.655,30","12.814,50","12.647,85","12.654,95","-0,12",99302195
18/10/19,"12.637,00","12.700,40","12.603,15","12.633,60","-0,17",88676094
21/10/19,"12.661,95","12.787,35","12.646,30","12.747,95","0,91",80978177
22/10/19,"12.757,75","12.791,30","12.730,70","12.754,70","0,05",79430704
23/10/19,"12.702,90","12.819,20","12.699,85","12.798,20","0,34",76218700
24/10/19,"12.860,65","12.914,25","12.820,65","12.872,10","0,58",84318869
25/10/19,"12.886,40","12.895,85","12.834,00","12.894,50","0,17",59800720
28/10/19,"12.897,40","12.986,50","12.892,85","12.941,70","0,37",69024077
29/10/19,"12.946,35","12.951,90","12.897,35","12.939,60","-0,02",76948293
30/10/19,"12.929,40","12.944,25","12.830,35","12.910,25","-0,23",100397429
31/10/19,"12.937,60","12.953,35","12.795,10","12.866,80","-0,34",100660900
01/11/19,"12.912,10","12.992,05","12.896,70","12.961,05","0,73",65905381
04/11/19,"13.022,95","13.171,15","13.019,20","13.136,30","1,35",84782354
05/11/19,"13.134,35","13.166,10","13.112,65","13.148,50","0,09",83190419
06/11/19,"13.150,95","13.187,65","13.110,90","13.179,90","0,24",80045585
07/11/19,"13.258,25","13.300,75","13.227,35","13.289,45","0,83",117100572
08/11/19,"13.248,60","13.278,20","13.195,85","13.228,55","-0,46",95599185
11/11/19,"13.170,20","13.225,60","13.144,10","13.198,35","-0,23",72597180
12/11/19,"13.243,55","13.308,25","13.214,65","13.283,50","0,65",82741364
13/11/19,"13.244,05","13.273,80","13.139,25","13.230,05","-0,40",77193800
14/11/19,"13.198,35","13.219,30","13.159,70","13.180,25","-0,38",81582668
15/11/19,"13.261,70","13.261,70","13.172,90","13.241,75","0,47",81039788
18/11/19,"13.255,80","13.282,40","13.137,90","13.207,00","-0,26",69775214
19/11/19,"13.235,30","13.374,25","13.187,90","13.221,10","0,11",68664212
20/11/19,"13.127,45","13.182,20","13.071,35","13.158,15","-0,48",68735334
21/11/19,"13.083,00","13.171,85","13.043,90","13.137,70","-0,16",74515753
22/11/19,"13.145,75","13.244,55","13.120,65","13.163,90","0,20",74716242
25/11/19,"13.247,50","13.268,95","13.210,25","13.246,45","0,63",54920184
26/11/19,"13.256,40","13.262,00","13.193,75","13.236,40","-0,08",89580084
27/11/19,"13.291,10","13.314,90","13.219,45","13.287,05","0,38",67304331
28/11/19,"13.247,60","13.259,30","13.215,70","13.245,60","-0,31",36771003
29/11/19,"13.179,25","13.290,35","13.165,05","13.236,40","-0,07",71753741
02/12/19,"13.264,95","13.338,25","12.954,50","12.964,70","-2,05",105692185
03/12/19,"13.039,60","13.086,05","12.927,05","12.989,30","0,19",87003124
04/12/19,"12.998,65","13.157,35","12.995,30","13.140,55","1,16",68441918
